ID,Place name,Longitude (mappable) / Geospatial,Latitude (mappable) / Geospatial,Place H-ID
1,Saragosse,-0.8773,41.6496,-69
2,Barcelone,2.1685,41.3818,-70
3,Narbonne,3.0015,43.1836,-71
4,Bézier,3.2158,43.3442,-72
5,Montpellier,3.8767,43.6107,-73
6,Vauvert,4.2773,43.6405,-74
7,Marseille,5.3697,43.2964,-75
8,Gênes,8.9462,44.4056,-76
9,Pise,10.4016,43.7228,-77
10,Rome,12.4963,41.9027,-78
11,Naples,14.2681,40.8517,-79
12,Amalfi,14.6027,40.634,-80
13,Bénévent,14.7791,41.1293,-81
14,Melfi,15.6548,40.9982,-82
15,Tarente,17.2405,40.4643,-83
16,Brindes,17.9417,40.6327,-84
17,Otranto,18.4863,40.1444,-85
18,Corfu,19.9217,39.6243,-86
19,Arta,20.9844,39.1606,-87
20,Aitolikon,21.3539,38.4369,-88
21,Patrasso,21.7345,38.2466,-89
22,Calcide,23.5912,38.4636,-90
23,Euba,23.85,38.5333,-91
24,Jabustrissa,22.5,39.3667,-92
25,Rabenika,22.3833,38.8,-93
26,Gardiki,22.75,38.9667,-94
27,Halmyros,22.76,39.18,-95
28,Salonnicco,22.9444,40.6401,-96
29,Amphipolis,23.8475,40.8242,-97
30,Abido,26.3986,40.1947,-98
31,Constantinople,28.9783,41.0082,-99
32,Rodez,27.5117,40.978,-100
33,Gallipoli,26.6389,40.4103,-101
34,Kales,26.4025,40.1461,-102
35,Mitilene,26.5547,39.1044,-103
36,Chios,26.1358,38.3678,-104
37,Samos,26.8357,37.7548,-105
38,Rodi,28.226,36.4349,-106
39,Chypre,33.4299,35.1264,-107
40,Corico,34.1467,36.4639,-108
41,Missis,35.6192,36.9583,-109
42,Antioche,36.1603,36.2021,-110
43,Gebal,35.6481,34.1228,-111
44,Tyr,35.203764,33.270494,-112
45,Haïfa/Mont Carmel,35.0111,32.7303,-113
46,Capharnaüm,35.5746,32.8808,-114
47,Césarée de Palestine,34.8909,32.501,-115
48,Caqoun,35.0044,32.3655,-116
49,Samarie,35.196,32.276,-117
50,Naplouse,35.2622,32.2211,-118
51,Gabaon,35.1833,31.8488,-119
52,Jérusalem,35.2137,31.7683,-120
53,Bethléem,35.2034,31.7057,-121
54,Ramlah,34.8707,31.9272,-122
55,Rémeth,35.0,32.5,-123
56,Jaffa,34.7522,32.0504,-124
57,Ascalon,34.5492,31.6669,-125
58,Saint-Georges/Lod,34.8953,31.951,-126
59,Zerîn,35.3283,32.5563,-127
60,Tibériade,35.5312,32.7897,-128
61,Tymim,,,-129
62,Médon,35.466,32.783,-130
63,Alma,35.4988,33.0536,-131
64,Qadis,35.5291,33.1118,-132
65,Damas,36.295982,33.5102,-133
66,Bagdad,44.361488,33.312805,-134
67,Zeriran/Resen,43.2833,36.3333,-135
68,Babel,44.4208,32.5422,-136
69,Hillah,44.4314,32.4839,-137
70,Kafri,44.5,32.6,-138
71,Le tombeau d'Ézéchiel,44.3644,32.2241,-139
72,Qusunat,44.4,32.2,-140
73,Ain Sifta,44.2,32.3,-141
74,Nahr Raga,44.5,32.1,-142
75,Kufah,44.4008,32.0293,-143
76,Mata Mehasya,44.45,32.4,-144
77,Al-Ambar,43.7125,33.3564,-145
78,Hillah,44.4314,32.4839,-146
79,Yemen,48.5,15.5,-147
80,Taima,38.4767,27.6311,-148
81,Tilmas,37.0,27.0,-149
82,Haibar,39.2989,25.6989,-150
83,Lasas,46.0,24.0,-151
84,Bassora,47.7833,30.5167,-152
85,Huzitan,48.7,31.3,-153
86,Suze (Tombeau de Daliel),48.2436,32.1892,-154
87,Rudabr,48.8,31.8,-155
88,Amadiyah,43.4878,37.0925,-156
89,Hamadan,48.5146,34.7983,-157
90,Tabaristan,52.5,36.5,-158
91,Ispahan,51.6776,32.6546,-159
92,Firuzeh,58.5881,36.2847,-160
93,Fars,53.0,29.5,-161
94,Hiya,68.0,35.0,-162
95,Tibet,88.0,31.0,-163
96,Neysapur,58.7958,36.2133,-164
97,Katifa,36.602,33.738,-165
98,Qulam,76.586,8.8932,-166
99,Labrig,78.0,10.0,-167
100,Chine,104.1954,35.8617,-168
101,Ceylon,80.7718,7.8731,-169
102,Assuane/Saba,32.8998,24.0889,-170
103,Heluan,31.3342,29.8415,-171
104,Fayyum,30.8418,29.3084,-172
105,Le Caire,31.2357,30.0444,-173
106,Bilbeis,31.5606,30.4183,-174
107,Damirah,31.4,31.05,-175
108,Mahallah,31.1656,30.9706,-176
109,Alexandrie (Le Nil),29.918739,31.200092,-177
110,Sicilia,14.0154,37.5999,-178
111,Palerme,13.3613,38.1156,-179
112,Rome,12.4963,41.9027,-180
113,Verdun,5.385,49.1598,-181
114,Metz,6.1757,49.1193,-182
115,Trèves sur la Mozelle,6.6385,49.7505,-183
116,Coblence,7.5962,50.3569,-184
117,Andernach,7.4045,50.4395,-185
118,Bonn,7.0982,50.7374,-186
119,Cologne,6.9531,50.9375,-187
120,Bingen,7.8938,49.9667,-188
121,Munster,7.6257,51.9606,-189
122,Worms,8.3562,49.6327,-190
123,Kaub,7.7619,50.0863,-191
124,Kartania,,,-192
125,Strasbourg,7.7521,48.5734,-193
126,Minden,8.9167,52.2883,-194
127,Bamberg,10.8916,49.8988,-195
128,Freising,11.7451,48.4028,-196
129,Duisbourg,6.7623,51.4344,-197
130,Ratisbonne,12.0949,49.0134,-198
131,Prague,14.4378,50.0755,-199
132,Paris,2.3522,48.8566,-200
133,Ankara,32.5152,39.5538,-201
