ID,Place name,Longitude (mappable) / Geospatial,Latitude (mappable) / Geospatial,Place H-ID
1,Iliberri (Grenade),-3.597934,37.176484,-1
2,Semptem (Ceuta),-5.316583,35.888245,-2
3,Caralis (Sardaigne),9.109522 ,39.214886,-3
4,Gortyna (La Crête),24.946943,35.062107,-4
5,Alexandrie,29.918739,31.200092,-5
6,Babylone (Le Caire),31.230107,30.005783,-6
7,Kaine/Maximianopolis (Qûs),32.701875,26.149885,-7
8,Aydhab,36.280000,22.190000,-8
9,Djeddah,39.197970,21.485810,-9
10,La Mecque,39.826168,21.422510,-10
11,Médine,39.612236,24.470901,-11
12,désert d'Arabie,45.000000,23.000000,-12
13,Koufa,44.400880,32.029280,-13
14,Bagdad,44.361488,33.312805,-14
15,Mossoul,43.130000 ,36.340000,-15
16,Alep,37.134260,36.202104,-16
17,Damas,36.295982,33.510200,-17
18,Tyr,35.203764,33.270494,-18
19,Acre,35.081815 ,32.933052,-19
20,Chypre,33.98787985863906,35.03087873701981,-20
21,Syracuse,15.273419535975496,37.05810453307669,-21
22,Ankara,32.5152,39.5538,-22
