ID,Place name,Longitude (mappable) / Geospatial,Latitude (mappable) / Geospatial,Place H-ID
1,Acre,35.081815 ,32.933052,-19
2,Nazareth,35.295600 ,32.699600,-20
3,Cana (Galilé),35.338800,32.746900,-21
4,Mont Thabor,35.390000,32.686600,-22
5,Naïm,35.349700,32.630000,-23
6,Lac de Tibériade,35.591600 ,32.818800,-24
7,Tibériade,35.531200 ,32.789700,-25
8,Idumée,35.500000 ,30.333300,-26
9,Nawa,36.033300 ,32.833300,-27
10,Damas,36.295982,33.510200,-17
12,Damas,36.295982,33.510200,-17
13,Haïfa/Mont Carmel,35.011100,32.730300,-29
14,Césarée de Palestine,34.890900,32.501000,-30
15,Arsûf,34.806600 ,32.203300,-31
16,Jaffa,34.752200 ,32.050400,-32
17,Rama,34.870700,31.927200,-33
18,Bethléem,35.203400,31.705700,-34
19,Jérusalem,35.213700,31.768300,-35
20,Mont Sion,35.228600 ,31.771400,-36
21,Bethléem,35.203400,31.705700,-34
22,Hébron,35.104400,31.532500,-37
23,Béthanie,35.258300 ,31.771300,-38
24,Jéricho,35.459900,31.861100,-39
25,Béthel,35.235500 ,31.942200,-40
26,Moab,35.750000,31.250000,-41
27,Jabok,35.601000 ,32.185000,-42
28,Krak de Montréal,35.561100 ,30.531300,-43
29,Édom,35.500000,30.333300,-44
30,Hor,35.405000,30.318300,-45
31,Birrie,35.214400 ,31.904400,-46
32,Aaron,35.405000,30.318300,-47
34,Thor Sina,33.974500,28.539300,-49
35,Mont Sinaï,33.974500,28.539300,-50
36,Ankara,32.5152,39.5538,-51
